CreatedOn,Location,InquiryDate,InquirySource,ProspectStatus,ProspectDate,ApplicationStatus,ApplicationStartedDate,ApplicationCompletedDate,ApplicationSubmittedDate,ApplicationMovedtoERPDate,AdmitDate,EnrolledDate,AcademicLevelofInterest,academicProgramofInterest,AnticipatedEntryTerm,MarketingCampaign,MarketingMedium,MarketingSource
1/11/2017,Online,1/11/2017,"Web, Inquiry",Inquiry,1/11/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
1/11/2017,Columbia Metro,1/11/2017,"Web, Inquiry",Inquiry,1/11/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,google
1/12/2017,Online,1/12/2017,"Web, Inquiry",Inquiry,1/12/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(referral),referral,m.facebook.com
1/12/2017,Online,1/12/2017,"Web, Inquiry",Inquiry,1/12/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",(direct),(none),(direct)
1/12/2017,Joint Base Anacostia-Bolling/Bolling AFB,1/12/2017,"Web, Inquiry",Inquiry,1/12/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
1/12/2017,Online,1/12/2017,"Web, Inquiry",Inquiry,1/12/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
1/13/2017,St. Louis Home Campus,1/13/2017,"Web, Inquiry",Inquiry,1/13/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",(referral),referral,edassist.com
1/13/2017,Online,1/13/2017,"Web, Inquiry",Inquiry,1/13/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(referral),referral,webster.edu
1/14/2017,Colorado Springs Metro,1/14/2017,"Web, Create Account",Inquiry,1/14/2017,,,,,,,,Graduate,Human Resources Management,"Fall II, 2017",(organic),organic,bing
1/15/2017,Online,1/15/2017,"Web, Inquiry",Inquiry,1/15/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
1/16/2017,Online,1/16/2017,"Web, Inquiry",Inquiry,1/16/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
1/18/2017,Online,1/18/2017,"Web, Inquiry",Inquiry,1/18/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,bing
1/18/2017,St. Louis Home Campus,1/18/2017,"Web, Inquiry",Inquiry,1/18/2017,,,,,,,,Graduate,Human Resources Management,"Fall II, 2017",(organic),organic,google
1/19/2017,Columbia Metro,1/19/2017,"Web, Inquiry",Inquiry,1/19/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",,,
1/20/2017,St. Louis Home Campus,1/20/2017,"Web, Inquiry",Inquiry,1/20/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",(organic),organic,google
1/20/2017,Westport,1/20/2017,"Web, Inquiry",Inquiry,1/20/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",(organic),organic,google
1/20/2017,Fayetteville Metro,1/20/2017,"Web, Inquiry",Inquiry,1/20/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",,,
1/22/2017,Online,1/22/2017,"Web, Inquiry",Inquiry,1/22/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,google
1/23/2017,Online,1/23/2017,"Web, Inquiry",Inquiry,1/23/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
1/23/2017,"Geneva, Switzerland",1/23/2017,"Web, Inquiry",Inquiry,1/23/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2018",,,
1/23/2017,"Geneva, Switzerland",1/23/2017,"Web, Inquiry",Inquiry,1/23/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(referral),referral,webster.ch
1/23/2017,Online,1/23/2017,"Web, Inquiry",Inquiry,1/23/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(referral),referral,webster.edu
1/24/2017,Columbia Metro,1/24/2017,"Web, Inquiry",Inquiry,1/24/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(referral),referral,webster.edu
1/25/2017,Online,1/25/2017,"Web, Inquiry",Inquiry,1/25/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(referral),referral,webster.edu
1/25/2017,Online,1/25/2017,"Web, Inquiry",Inquiry,1/25/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",(referral),referral,webster.edu
1/25/2017,Online,1/25/2017,"Web, Inquiry",Inquiry,1/25/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2018",(direct),(none),(direct)
1/27/2017,Online,1/27/2017,"Web, Inquiry",Inquiry,1/27/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
1/27/2017,Orlando Metro,1/27/2017,"Web, Inquiry",Inquiry,1/27/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2018",(organic),organic,google
1/30/2017,Myrtle Beach Metro,1/30/2017,"Web, Inquiry",Inquiry,1/30/2017,,,,,,,,Graduate,Human Resources Management,"Fall II, 2017",(organic),organic,google
1/30/2017,Online,1/30/2017,"Web, Inquiry",Inquiry,1/30/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,google
2/1/2017,"Geneva, Switzerland",2/1/2017,"Web, Inquiry",Inquiry,2/1/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",,,
2/1/2017,Online,2/1/2017,"Web, Inquiry",Inquiry,2/1/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2018",(direct),(none),(direct)
2/1/2017,Online,2/1/2017,"Web, Inquiry",Inquiry,2/1/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",(direct),(none),(direct)
2/1/2017,Online,2/1/2017,"Web, Inquiry",Inquiry,2/1/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,google
2/3/2017,"Geneva, Switzerland",2/3/2017,"Web, Inquiry",Inquiry,2/3/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2018",,,
2/6/2017,Online,2/6/2017,"Web, Inquiry",Inquiry,2/6/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(referral),referral,webster.edu
2/6/2017,"Geneva, Switzerland",2/6/2017,"Web, Inquiry",Inquiry,2/6/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",,,
2/7/2017,Online,2/7/2017,"Web, Create Account",Inquiry,2/7/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,google
2/8/2017,Online,2/8/2017,"Web, Inquiry",Inquiry,2/8/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(referral),referral,com.google.android.googlequicksearchbox
2/8/2017,Online,2/8/2017,"Web, Inquiry",Inquiry,2/8/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
2/8/2017,Online,2/8/2017,"Web, Inquiry",Inquiry,2/8/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
2/9/2017,Online,2/9/2017,"Web, Inquiry",Inquiry,2/9/2017,,,,,,,,Graduate,Human Resources Management,"Fall II, 2017",(organic),organic,google
2/10/2017,Little Rock Metro,2/10/2017,"Web, Inquiry",Inquiry,2/10/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",(organic),organic,bing
2/10/2017,Melbourne,2/10/2017,"Web, Inquiry",Inquiry,2/10/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,bing
2/16/2017,Melbourne,2/10/2017,"Web, Inquiry",Inquiry,2/10/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,bing
2/11/2017,"Geneva, Switzerland",2/11/2017,"Web, Inquiry",Inquiry,2/11/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",,,
2/12/2017,St. Louis Home Campus,2/12/2017,"Web, Inquiry",Inquiry,2/12/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,google
2/13/2017,"Geneva, Switzerland",2/13/2017,"Web, Inquiry",Inquiry,2/13/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2018",,,
2/13/2017,Online,2/13/2017,"Web, Create Account",Inquiry,2/13/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,google
2/13/2017,"Geneva, Switzerland",2/13/2017,"Web, Inquiry",Inquiry,2/13/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2018",(organic),organic,google
2/13/2017,Memphis Naval Support Activity,2/13/2017,"Web, Create Account",Inquiry,2/13/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(direct),(none),(direct)
2/13/2017,Online,2/13/2017,"Web, Inquiry",Inquiry,2/13/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
2/14/2017,Online,2/14/2017,"Web, Inquiry",Inquiry,2/14/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",(referral),referral,webster.edu
2/14/2017,Camp Lejeune,2/14/2017,"Web, Inquiry",Inquiry,2/14/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(organic),organic,google
2/15/2017,"Geneva, Switzerland",2/15/2017,"Web, Inquiry",Inquiry,2/15/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",,,
2/15/2017,Greenville Metro,2/15/2017,"Web, Inquiry",Inquiry,2/15/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",,,
2/16/2017,Fort Leonard Wood,2/16/2017,"Web, Inquiry",Inquiry,2/16/2017,,,,,,,,Graduate,Human Resources Management,"Fall II, 2017",(direct),(none),(direct)
2/16/2017,Kansas City Metro,2/16/2017,"Web, Inquiry",Inquiry,2/16/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2018",(organic),organic,google
2/16/2017,Online,2/16/2017,"Web, Inquiry",Inquiry,2/16/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(referral),referral,bestcolleges.com
2/17/2017,"Geneva, Switzerland",2/17/2017,"Web, Inquiry",Inquiry,2/17/2017,,,,,,,,Graduate,Human Resources Management,"Fall II, 2017",,,
2/17/2017,Online,2/17/2017,"Web, Inquiry",Inquiry,2/17/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2018",(referral),referral,bestcolleges.com
2/18/2017,"Geneva, Switzerland",2/18/2017,"Web, Create Account",Inquiry,2/18/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
2/19/2017,Online,2/19/2017,"Web, Inquiry",Inquiry,2/19/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,ask
6/6/2016,"Geneva, Switzerland",,,Prospect,6/6/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
6/6/2016,"Geneva, Switzerland",,,Prospect,6/6/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
6/6/2016,"Geneva, Switzerland",,,Prospect,6/6/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
6/10/2016,Columbia Metro,,,Prospect,6/10/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",,,
6/15/2016,Columbia Metro,,,Prospect,6/15/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",,,
6/15/2016,Greenville Metro,,,Prospect,6/15/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",,,
7/8/2016,Memphis Naval Support Activity,,,Prospect,7/8/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",,,
8/4/2016,Louisville Metro,,,Prospect,8/3/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2016",,,
8/9/2016,WingHaven,,,Prospect,8/9/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
9/7/2016,Memphis Naval Support Activity,,,Prospect,9/7/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2018",,,
9/15/2016,Greenville Metro,,,Prospect,9/15/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
9/15/2016,Greenville Metro,,,Prospect,9/15/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
9/15/2016,Greenville Metro,,,Prospect,9/15/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
9/19/2016,"Geneva, Switzerland",,,Prospect,9/19/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",,,
10/27/2016,Fayetteville Metro,,,Prospect,10/27/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
11/2/2016,Online,,,Prospect,11/2/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
11/11/2016,Gateway - Downtown St. Louis,,,Prospect,11/11/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
11/11/2016,Westport,,,Prospect,11/11/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
11/11/2016,Westport,,,Prospect,11/11/2016,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
11/17/2016,Melbourne,,,Prospect,11/17/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
2/9/2017,Luke AFB,,,Prospect,2/9/2017,,,,,,,,Graduate,Human Resources Management,"Fall II, 2017",,,
7/4/2016,"Geneva, Switzerland",,,Prospect,7/4/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
7/7/2016,"Geneva, Switzerland",,,Prospect,7/7/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
9/7/2016,"Geneva, Switzerland",,,Prospect,9/7/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
9/7/2016,"Geneva, Switzerland",,,Prospect,9/7/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2018",,,
9/7/2016,Greenville Metro,,,Prospect,9/7/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
9/7/2016,Greenville Metro,,,Prospect,9/7/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2018",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2018",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2017",,,
9/12/2016,"Geneva, Switzerland",,,Prospect,9/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2018",,,
10/13/2016,Gateway - Downtown St. Louis,,,Prospect,10/13/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
11/16/2016,WingHaven,,,Prospect,11/16/2016,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
11/16/2016,Myrtle Beach Metro,,,Prospect,11/16/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
11/16/2016,Myrtle Beach Metro,,,Prospect,11/16/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
11/16/2016,Myrtle Beach Metro,,,Prospect,11/16/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
12/16/2016,Hunter Army Airfield,,,Prospect,12/16/2016,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
2/9/2017,Greenville Metro,,,Prospect,2/9/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
8/31/2016,Online,,,Prospect,8/31/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",(not set),(not set),
9/2/2016,Fort Jackson,,,Prospect,9/2/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(not set),(not set),
9/6/2016,Online,,,Prospect,9/6/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(organic),organic,google
9/6/2016,Irvine Metro,,,Prospect,9/6/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2016",(organic),organic,google
9/7/2016,Charleston Metro,,,Prospect,9/7/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",(not set),(not set),
10/31/2016,Online,,,Prospect,10/31/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(not set),(not set),
10/31/2016,Online,,,Prospect,10/31/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
11/4/2016,Little Rock Metro,,,Prospect,11/4/2016,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(not set),(not set),
11/4/2016,Online,,,Prospect,11/4/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
11/14/2016,Little Rock Metro,,,Prospect,11/14/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(not set),(not set),
12/5/2016,Charleston Metro,,,Prospect,12/5/2016,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(not set),(not set),
12/5/2016,San Antonio Metro,,,Prospect,12/5/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
12/6/2016,Online,,,Prospect,12/6/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(direct),(none),(direct)
12/9/2016,Southern Maryland Higher Education Center,,,Prospect,12/9/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
1/9/2017,Online,,,Prospect,1/9/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
1/9/2017,Online,,,Prospect,1/9/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(not set),(not set),
1/9/2017,Fort Stewart,,,Prospect,1/9/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
2/1/2017,Online,,,Prospect,2/1/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
2/1/2017,Online,,,Prospect,2/1/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
2/10/2017,Online,,,Prospect,2/10/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(direct),(none),(direct)
2/15/2017,Charleston Metro,,,Prospect,2/15/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
2/15/2017,Online,,,Prospect,2/15/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
6/14/2016,Fort Bragg,,,Prospect,6/14/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(organic),organic,google
6/16/2016,Joint Base Anacostia-Bolling/Bolling AFB,,,Prospect,6/16/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",(direct),(none),(direct)
6/27/2016,Online,,,Prospect,6/27/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",(not set),(not set),
7/12/2016,Online,,,Prospect,7/12/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",,,
7/18/2016,Online,,,Prospect,7/18/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
8/4/2016,Online,,,Prospect,8/4/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
8/24/2016,St. Louis Home Campus,,,Prospect,8/24/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2016",(organic),organic,google
8/29/2016,Hunter Army Airfield,,,Prospect,8/29/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",,,
9/1/2016,Online,,,Prospect,9/1/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
9/26/2016,Online,,,Prospect,9/26/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
10/26/2016,Myrtle Beach Metro,,,Prospect,10/26/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(direct),(none),(direct)
10/27/2016,Westport,,,Prospect,10/27/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
11/7/2016,Myrtle Beach Metro,,,Prospect,11/7/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
11/16/2016,Online,,,Prospect,11/16/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(organic),organic,google
11/21/2016,Online,,,Prospect,11/21/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(direct),(none),(direct)
12/23/2016,Online,,,Prospect,12/23/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(not set),(not set),
12/23/2016,Kansas City Metro,,,Prospect,12/23/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
12/28/2016,Online,,,Prospect,12/28/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
1/3/2017,Online,,,Prospect,1/3/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
1/3/2017,St. Louis Home Campus,,,Prospect,1/3/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
1/10/2017,Online,,,Prospect,1/10/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
1/16/2017,Online,,,Prospect,1/16/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
1/20/2017,Online,,,Prospect,1/20/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(not set),(not set),
1/23/2017,Online,,,Prospect,1/23/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(not set),(not set),
1/23/2017,Louisville Metro,,,Prospect,1/23/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
2/6/2017,Fort Leavenworth,,,Prospect,2/6/2017,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",,,
2/6/2017,St. Louis Home Campus,,,Prospect,2/6/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
2/6/2017,Little Rock Metro,,,Prospect,2/6/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",FY1617Grad_Webster_LIT,PaidSocial,LinkedIn_SponsoredContent
6/22/2016,Lakeland Metro,,,Prospect,6/22/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(not set),(not set),
6/22/2016,Little Rock Metro,,,Prospect,6/22/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(direct),(none),(direct)
6/30/2016,Little Rock Metro,,,Prospect,6/30/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",FY1516Grad_LittleRock,OnlineMarketing,PandoraAudioEverywhere
6/30/2016,Online,,,Prospect,6/30/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(direct),(none),(direct)
6/30/2016,Westport,,,Prospect,6/30/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(organic),organic,google
7/5/2016,Online,,,Prospect,7/5/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
7/22/2016,Hunter Army Airfield,,,Prospect,7/22/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(not set),(not set),
9/8/2016,Online,,,Prospect,9/8/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(organic),organic,google
9/19/2016,Online,,,Prospect,9/19/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
9/22/2016,Online,,,Prospect,9/22/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
9/30/2016,Online,,,Prospect,9/30/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
9/30/2016,Greenville Metro,,,Prospect,9/30/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",(not set),(not set),
10/17/2016,Charleston Metro,,,Prospect,10/17/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(organic),organic,google
10/28/2016,Jacksonville Naval Air Station,,,Prospect,10/28/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,bing
11/29/2016,Online,,,Prospect,11/29/2016,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(direct),(none),(direct)
11/29/2016,Online,,,Prospect,11/29/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,google
11/29/2016,Jacksonville Metro,,,Prospect,11/29/2016,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",(not set),(not set),
12/1/2016,Online,,,Prospect,12/1/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
12/14/2016,Online,,,Prospect,12/14/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(not set),(not set),
12/19/2016,Online,,,Prospect,12/19/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(organic),organic,yahoo
12/20/2016,Online,,,Prospect,12/20/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(organic),organic,google
1/13/2017,Online,,,Prospect,1/13/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2016",(not set),(not set),
1/18/2017,Online,,,Prospect,1/18/2017,,,,,,,,Graduate,Human Resources Management,"Spring II, 2017",,,
1/18/2017,Online,,,Prospect,1/18/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2016",(not set),(not set),
1/18/2017,Ocala Metro,,,Prospect,1/18/2017,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(not set),(not set),
2/3/2017,Fort Leonard Wood,,,Prospect,2/3/2017,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(direct),(none),(direct)
6/6/2016,Orlando Metro,,,Prospect,6/6/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(organic),organic,google
6/9/2016,Online,,,Prospect,6/9/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
8/1/2016,Fayetteville Metro,,,Prospect,8/1/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",(direct),(none),(direct)
8/1/2016,Orlando Metro,,,Prospect,8/1/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",(not set),(not set),
8/1/2016,Westport,,,Prospect,8/1/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",(organic),organic,google
8/2/2016,Charleston Metro,,,Prospect,8/2/2016,,,,,,,,Graduate,Human Resources Management,"Fall I, 2016",(direct),(none),(direct)
8/10/2016,San Antonio Metro,,,Prospect,8/10/2016,,,,,,,,Graduate,Human Resources Management,"Fall II, 2016",,,
8/17/2016,Greenville Metro,,,Prospect,8/17/2016,,,,,,,,Graduate,Human Resources Management,"Summer, 2017",(not set),(not set),
8/23/2016,Westport,,,Prospect,8/23/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
9/16/2016,Melbourne,,,Prospect,9/16/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
9/29/2016,Online,,,Prospect,9/29/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(direct),(none),(direct)
10/3/2016,Online,,,Prospect,10/3/2016,,,,,,,,Graduate,Human Resources Management,"Spring I, 2017",(not set),(not set),
